,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,year,quarter,month,day,weekday,hour,minute,second,Month,Lat,Long,vx2,vy2,vz2,vel2
0,2022-11-20 15:35:21,17.0S,95.7W,50.0,,,,,33000000000.0,0.11,2022-11-20 00:00:00,2022,4,11,20,6,15,35,21,November,-17.0,-95.7,,,,
1,2022-11-20 13:53:54,15.0N,109.7W,26.0,21.7,9.0,12.3,15.4,34000000000.0,0.12,2022-11-20 00:00:00,2022,4,11,20,6,13,53,54,November,15.0,-109.7,81.0,151.29000000000002,237.16000000000003,470.89
2,2022-11-08 08:54:01,77.2N,93.2W,41.0,,,,,39000000000.0,0.13,2022-11-08 00:00:00,2022,4,11,8,1,8,54,1,November,77.2,-93.2,,,,
3,2022-10-28 17:40:11,7.1N,118.9W,45.0,,,,,47000000000.0,0.16,2022-10-28 00:00:00,2022,4,10,28,4,17,40,11,October,7.1,-118.9,,,,
4,2022-10-20 20:55:07,26.6N,165.1E,65.6,,,,,47000000000.0,0.16,2022-10-20 00:00:00,2022,4,10,20,3,20,55,7,October,26.6,165.1,,,,
5,2022-09-15 02:49:02,22.7N,97.6E,31.5,,,,,27000000000.0,0.095,2022-09-15 00:00:00,2022,3,9,15,3,2,49,2,September,22.7,97.6,,,,
6,2022-09-14 23:31:15,40.8N,63.4E,35.8,17.4,-13.9,-4.3,9.5,32000000000.0,0.11,2022-09-14 00:00:00,2022,3,9,14,2,23,31,15,September,40.8,63.4,193.21,18.49,90.25,302.75999999999993
7,2022-09-04 03:54:55,20.0N,165.9E,14.0,21.9,18.4,-11.4,-3.5,24000000000.0,0.086,2022-09-04 00:00:00,2022,3,9,4,6,3,54,55,September,20.0,165.9,338.55999999999995,129.96,12.25,479.60999999999996
8,2022-08-21 16:35:49,6.3S,51.5E,37.0,,,,,21000000000.0,0.076,2022-08-21 00:00:00,2022,3,8,21,6,16,35,49,August,-6.3,51.5,,,,
9,2022-08-14 07:39:18,35.0S,78.4E,55.5,,,,,468000000000.0,1.2,2022-08-14 00:00:00,2022,3,8,14,6,7,39,18,August,-35.0,78.4,,,,
10,2022-07-28 01:36:08,6.0S,86.9W,37.5,29.9,-17.1,23.5,-7.2,251000000000.0,0.68,2022-07-28 00:00:00,2022,3,7,28,3,1,36,8,July,-6.0,-86.9,292.41,552.25,51.84,894.0099999999999
11,2022-07-27 04:41:30,44.8S,2.9W,38.1,19.8,-6.1,17.7,6.5,524000000000.0,1.3,2022-07-27 00:00:00,2022,3,7,27,2,4,41,30,July,-44.8,-2.9,37.209999999999994,313.28999999999996,42.25,392.04
12,2022-07-25 07:28:17,40.5S,76.6E,33.6,15.2,-2.1,-2.2,14.9,87000000000.0,0.27,2022-07-25 00:00:00,2022,3,7,25,0,7,28,17,July,-40.5,76.6,4.41,4.840000000000001,222.01000000000002,231.04
